"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbNLCProtection"
"01/25/2022 11:17:10:001 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-alpha","[step]","getSeed","getViability","getRemainingCellRatio"
"1","0","99","154471","80.12649800266311","75.1"
"3","0","102","481802","83.21894303363074","72.85000000000001"
"4","10","100","612836","80.83972009330223","75.02499999999999"
"2","0","103","144971","84.38375350140056","71.39999999999999"
"1","0","100","154471","80.54527095254123","74.275"
"3","0","103","481802","83.39688041594454","72.125"
"4","10","101","612836","81.35536075522589","74.15"
"2","0","104","144971","85.15625","70.39999999999999"
"1","0","101","154471","80.93292475314946","73.425"
"3","0","104","481802","83.48527349228611","71.3"
"4","10","102","612836","81.83986371379898","73.375"
"2","0","105","144971","85.82223821518532","69.475"
"1","0","102","154471","81.608005521049","72.45"
"3","0","105","481802","84.1862117981521","70.35"
"2","0","106","144971","86.33381924198251","68.60000000000001"
"4","10","103","612836","82.16867469879519","72.625"
"1","0","103","154471","82.13538032100487","71.65"
"3","0","106","481802","84.78104809763101","69.65"
"2","0","107","144971","86.98377581120944","67.80000000000001"
"4","10","104","612836","82.81032078103208","71.7"
"1","0","104","154471","82.82078472958642","70.72500000000001"
"3","0","107","481802","85.15965166908563","68.89999999999999"
"2","0","108","144971","87.43475018642803","67.05"
"4","10","105","612836","83.39210155148096","70.89999999999999"
"1","0","105","154471","83.36314847942755","69.875"
"3","0","108","481802","85.78773411678297","68.075"
"2","0","109","144971","88.22197055492639","66.225"
"4","10","106","612836","84.20864594498035","69.975"
"1","0","106","154471","83.67716250452408","69.075"
"3","0","109","481802","86.42618073633321","67.225"
"2","0","110","144971","88.79541108986616","65.375"
"4","10","107","612836","84.65703971119135","69.25"
"1","0","107","154471","84.33602347762289","68.15"
"3","0","110","481802","86.94015807301467","66.425"
"2","0","111","144971","89.28847641144625","64.64999999999999"
"4","10","108","612836","85.1149215614739","68.525"
"1","0","108","154471","85.10954326030449","67.325"
"3","0","111","481802","87.72865853658537","65.60000000000001"
"2","0","112","144971","89.63223787167449","63.9"
"4","10","109","612836","85.46661748432312","67.77499999999999"
"1","0","109","154471","85.81106511102747","66.425"
"3","0","112","481802","88.56701429123214","64.725"
"2","0","113","144971","89.84932593180017","63.05"
"4","10","110","612836","85.74094811496828","66.975"
"1","0","110","154471","86.50400304994281","65.575"
"2","0","114","144971","90.5736060970718","62.324999999999996"
"3","0","113","481802","88.90191481047283","63.975"
"4","10","111","612836","86.31737655484358","66.325"
"1","0","111","154471","86.68718737976144","64.97500000000001"
"2","0","115","144971","91.38911454102356","61.550000000000004"
"3","0","114","481802","89.71925662317122","63.224999999999994"
"4","10","112","612836","86.96149447197865","65.575"
"1","0","112","154471","87.12563204978608","64.275"
"2","0","116","144971","92.07717569786536","60.9"
"3","0","115","481802","90.08396641343462","62.525"
"4","10","113","612836","87.32177263969172","64.875"
"1","0","113","154471","87.75029446407538","63.675000000000004"
"2","0","117","144971","92.45752175714877","60.324999999999996"
"3","0","116","481802","90.56451612903226","62"
"4","10","114","612836","87.80677834047526","64.17500000000001"
"1","0","114","154471","87.99048751486326","63.075"
"2","0","118","144971","92.97365119196989","59.775"
"3","0","117","481802","90.76860512403417","61.475"
"4","10","115","612836","88.19826907946499","63.55"
"1","0","115","154471","88.69739478957915","62.375"
"2","0","119","144971","93.5361216730038","59.175"
"3","0","118","481802","91.24177631578947","60.8"
"4","10","116","612836","88.58501783590962","63.075"
"1","0","116","154471","88.96523848019402","61.85000000000001"
"2","0","120","144971","94.03493821900298","58.675"
"3","0","119","481802","91.88176519567027","60.050000000000004"
"4","10","117","612836","88.56","62.5"
"1","0","117","154471","89.46508779093507","61.224999999999994"
