apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,624.1086987462324,544.2950000000001,76.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,624.1086987462324,540.1399999999999,64.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,624.1086987462324,544.2950000000001,72.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,624.1086987462324,544.2950000000001,80.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,624.1086987462324,540.5300000000001,66.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,624.1086987462324,539.7349999999998,60.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,625.2691778261944,540.8800000000001,77.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,625.2691778261944,539.3699999999999,61.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,625.2691778261944,540.0999999999997,63.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,625.2691778261944,547.71,81.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,634.8955372225529,544.2950000000001,82.0
0,3,1,99,68,0,15,0,2,3,1,1,149,11,31,58,39,775,0.5813289338136125,635.2427935227704,539.7349999999998,62.0
9,4,2,264,72,4,16,4,1,2,1,1,198,32,15,50,48,1412,0.5043321159288865,673.5327705200841,650.9350000000001,50.0
9,4,2,264,72,4,16,4,1,2,1,1,198,32,15,50,48,1412,0.5043321159288865,677.069638519592,646.0800000000002,51.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1273.1624741952912,617.8100000000003,85.0
